comparison,metric,mean_a,mean_b,mean_diff_a_minus_b,diff_ci_lo,diff_ci_hi,n_pos,n_neg,n_tied,sign_test_p,wilcoxon_p,holm_adjusted_p
lspm_r0.3 vs naive_r0.3,em,0.3142857142857143,0.25,0.06428571428571428,0.007142857142857143,0.12142857142857143,13,4,123,0.049041748046875,0.029049022161940566,
lspm_r0.3 vs raw,em,0.3142857142857143,0.29285714285714287,0.02142857142857143,-0.02857142857142857,0.07142857142857142,8,5,127,0.5810546875,0.40538055645894233,
naive_r0.3 vs raw,em,0.25,0.29285714285714287,-0.04285714285714286,-0.1,0.014285714285714285,5,11,124,0.210113525390625,0.13361440253771611,
lspm_r0.3 vs naive_r0.3,f1,0.6497980884996488,0.5360829689365945,0.11371511956305441,0.05571357691147421,0.17398562180743382,36,21,83,0.06273668035582848,0.0006695409539119362,0.00535632763129549
lspm_r0.3 vs raw,f1,0.6497980884996488,0.6643480965249493,-0.014550008025300465,-0.05258872519520678,0.02410942955814084,18,30,92,0.11140289106101878,0.21080758754363826,0.4342318436867666
naive_r0.3 vs raw,f1,0.5360829689365945,0.6643480965249493,-0.1282651275883549,-0.18434149048705922,-0.07378242944885346,19,42,79,0.004444019471066869,4.856870676101695e-05,0.00043711836084915255
lspm_r0.5 vs naive_r0.5,em,0.3,0.29285714285714287,0.007142857142857143,-0.05,0.06428571428571428,9,8,123,1.0,0.8083651559145103,
lspm_r0.5 vs raw,em,0.3,0.29285714285714287,0.007142857142857143,-0.03571428571428571,0.05017857142856883,6,5,129,1.0,0.763024600552995,
naive_r0.5 vs raw,em,0.29285714285714287,0.29285714285714287,0.0,-0.05714285714285714,0.05714285714285714,8,8,124,1.0,1.0,
lspm_r0.5 vs naive_r0.5,f1,0.6376235310185063,0.5760231626094222,0.061600368409084186,0.002727798759604609,0.12130622138997896,33,20,87,0.09837064844049181,0.03465848738355583,0.1481652670906302
lspm_r0.5 vs raw,f1,0.6376235310185063,0.6643480965249493,-0.026724565506443008,-0.06089507293768942,0.005613355256219786,16,23,101,0.3367836351899315,0.14474394789558886,0.4342318436867666
naive_r0.5 vs raw,f1,0.5760231626094222,0.6643480965249493,-0.08832493391552718,-0.14135341281267755,-0.03744924061394144,20,32,88,0.12634707581392135,0.0021124420361745343,0.01478709425322174
lspm_r0.7 vs naive_r0.7,em,0.3,0.2857142857142857,0.014285714285714285,-0.03571428571428571,0.06428571428571428,8,6,126,0.79052734375,0.5929800980174267,
lspm_r0.7 vs raw,em,0.3,0.29285714285714287,0.007142857142857143,-0.04285714285714286,0.05714285714285714,6,5,129,1.0,0.763024600552995,
naive_r0.7 vs raw,em,0.2857142857142857,0.29285714285714287,-0.007142857142857143,-0.06428571428571428,0.05,7,8,125,1.0,0.7962534147376392,
lspm_r0.7 vs naive_r0.7,f1,0.6614858866588443,0.6038381187247519,0.057647767934092264,0.009075105469726981,0.10785045208891932,27,19,94,0.3019956131896606,0.029633053418126037,0.1481652670906302
lspm_r0.7 vs raw,f1,0.6614858866588443,0.6643480965249493,-0.0028622098661051126,-0.03660904621231533,0.030240794488204013,17,19,104,0.8679394004284404,0.9373844163241257,0.9373844163241257
naive_r0.7 vs raw,f1,0.6038381187247519,0.6643480965249493,-0.06050997780019737,-0.11216573685706854,-0.011913344505275198,20,33,87,0.09837064844049181,0.020118851942254518,0.1207131116535271
