comparison,metric,subset,n,mean_a,mean_b,mean_diff_a_minus_b,diff_ci_lo,diff_ci_hi,n_pos,n_neg,n_tied,sign_test_p,wilcoxon_p
lspm vs naive,em,all,60,0.23333333333333334,0.13333333333333333,0.1,0.03333333333333333,0.18333333333333332,6,0,54,0.03125,0.014305878435429647
lspm vs raw,em,all,60,0.23333333333333334,0.16666666666666666,0.06666666666666667,0.016666666666666666,0.13333333333333333,4,0,56,0.125,0.045500263896358396
naive vs raw,em,all,60,0.13333333333333333,0.16666666666666666,-0.03333333333333333,-0.08333333333333333,0.0,0,2,58,0.5,0.15729920705028505
lspm vs naive,f1,all,60,0.5815679470593264,0.5251037713507286,0.05646417570859761,-0.01673442559712843,0.1341142932268693,16,5,39,0.02660369873046875,0.08529373943642869
lspm vs raw,f1,all,60,0.5815679470593264,0.5609410741655265,0.02062687289379991,-0.0415889719059213,0.08435423658397796,13,11,36,0.8388197422027588,0.44045294529422474
naive vs raw,f1,all,60,0.5251037713507286,0.5609410741655265,-0.0358373028147977,-0.10653931553383228,0.030017637092574653,9,14,37,0.4048728942871094,0.35355816903366444
lspm vs naive,em,retrieval_hit,52,0.25,0.15384615384615385,0.09615384615384616,0.019230769230769232,0.19230769230769232,5,0,47,0.0625,0.025347318677468256
lspm vs raw,em,retrieval_hit,52,0.25,0.19230769230769232,0.057692307692307696,0.0,0.1346153846153846,3,0,49,0.25,0.08326451666355039
naive vs raw,em,retrieval_hit,52,0.15384615384615385,0.19230769230769232,-0.038461538461538464,-0.09615384615384616,0.0,0,2,50,0.5,0.15729920705028505
lspm vs naive,f1,retrieval_hit,52,0.6434758363505048,0.5840940951482767,0.059381741202228014,-0.023199616394293816,0.14634005995694635,15,4,33,0.0192108154296875,0.09892320515700176
lspm vs raw,f1,retrieval_hit,52,0.6434758363505048,0.6386926924132144,0.0047831439372905,-0.05975240947883105,0.06390324166708718,12,10,30,0.8318119049072266,0.6378178967698778
naive vs raw,f1,retrieval_hit,52,0.5840940951482767,0.6386926924132144,-0.054598597264937515,-0.13220016938566417,0.016180182774062916,7,14,31,0.18924713134765625,0.2172414463719159
