method,ratio,metric,n,mean,ci95_lo,ci95_hi
lspm,0.3,rougeL,8,0.8854,0.7188,1.0
lspm,0.3,bleu,8,80.0601,50.6444,100.0
lspm,0.3,bertscore_f1,8,0.9619,0.9086,1.0
lspm,0.3,char_reduction,8,0.6729,,
lspm,0.5,rougeL,8,0.9278,0.8479,1.0
lspm,0.5,bleu,8,81.8971,63.0503,95.9682
lspm,0.5,bertscore_f1,8,0.9711,0.9364,0.996
lspm,0.5,char_reduction,8,0.5029,,
lspm,0.7,rougeL,8,0.8892,0.7593,0.9861
lspm,0.7,bleu,8,78.2554,57.0958,100.0
lspm,0.7,bertscore_f1,8,0.9636,0.9204,0.996
lspm,0.7,char_reduction,8,0.3422,,
naive,0.3,rougeL,8,0.8367,0.6735,0.9632
naive,0.3,bleu,8,73.8421,48.7357,100.0
naive,0.3,bertscore_f1,8,0.9574,0.9162,0.9892
naive,0.3,char_reduction,8,0.6646,,
naive,0.5,rougeL,8,0.9062,0.7812,1.0
naive,0.5,bleu,8,81.3669,54.8833,100.0
naive,0.5,bertscore_f1,8,0.9678,0.9222,1.0
naive,0.5,char_reduction,8,0.5023,,
naive,0.7,rougeL,8,0.9159,0.7909,1.0
naive,0.7,bleu,8,85.8335,65.5641,100.0
naive,0.7,bertscore_f1,8,0.9695,0.9237,1.0
naive,0.7,char_reduction,8,0.3352,,
