mode,concurrency,n_ok,n_error,pruning_latency_ms_mean,pruning_latency_ms_p95,ttft_ms_mean,ttft_ms_p95,total_latency_ms_mean,total_latency_ms_p95,throughput_req_per_s,throughput_tokens_per_s
raw,1,60,0,0.0,0.0,37.6,41.6,397.9,792.5,2.512,57.8
raw,5,60,0,0.0,0.0,52.2,64.6,446.6,855.3,10.72,263.7
raw,10,60,0,0.0,0.0,67.1,83.7,413.3,791.9,22.451,475.6
raw,20,60,0,0.0,0.0,108.0,123.6,507.5,879.9,35.306,806.2
lspm,1,60,0,34.9,32.9,67.9,66.2,425.9,733.7,2.347,53.7
lspm,5,60,0,85.7,250.0,139.7,307.6,523.7,882.3,9.132,215.4
lspm,10,48,0,184.0,576.9,244.2,649.2,590.6,1000.3,12.624,263.3
lspm,20,24,0,351.2,753.6,407.0,805.7,777.5,1011.4,9.408,214.4
naive,1,60,0,0.2,0.2,38.6,41.5,384.0,710.3,2.603,57.5
naive,5,60,0,0.2,0.2,53.6,65.1,424.1,747.2,11.44,266.0
naive,10,60,0,0.2,0.2,65.9,82.3,399.4,770.8,23.698,490.9
naive,20,60,0,0.2,0.2,97.2,112.6,536.5,864.8,35.67,892.3
