method,ratio,concurrency,requests_per_s,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,ttft_p50_ms,ttft_p95_ms,tokens_per_sec_avg,failure_count,request_count,mean_kv_cache_usage_pct,peak_kv_cache_usage_pct
raw,,1,0.593,9.0,13.0,15.0,36.0,42.0,50.98,0,50,0.15,0.75
raw,,10,5.398,7.0,12.0,28.0,62.0,74.0,48.17,0,483,0.77,1.26
raw,,25,12.984,7.0,13.0,28.0,67.0,80.0,44.89,0,1162,1.13,1.79
raw,,50,24.518,6.0,13.0,36.0,75.0,92.0,39.96,0,2193,1.67,2.51
raw,,100,42.232,7.0,19.0,41.0,100.0,130.0,29.47,0,3780,2.93,4.45
lspm,0.3,1,0.521,8.0,11.0,19.0,36.0,47.0,50.81,0,46,0.11,0.5
lspm,0.3,10,5.185,7.0,38.0,60.0,65.0,100.0,47.48,0,464,0.7,1.4
lspm,0.3,25,12.289,7.0,53.0,83.0,76.0,120.0,42.94,0,1091,1.32,2.3
lspm,0.3,50,22.628,21.0,100.0,170.0,99.0,180.0,37.64,0,2016,2.06,3.41
lspm,0.3,100,37.17,61.0,290.0,380.0,180.0,370.0,27.29,0,3304,3.7,5.96
lspm,0.5,1,0.532,6.0,8.0,11.0,33.0,46.0,50.86,0,47,0.13,0.57
lspm,0.5,10,5.304,6.0,32.0,59.0,62.0,94.0,47.49,0,475,0.8,1.69
lspm,0.5,25,12.776,6.0,56.0,99.0,73.0,120.0,43.41,0,1135,1.31,2.26
lspm,0.5,50,23.484,20.0,100.0,200.0,92.0,170.0,38.61,0,2096,2.0,3.05
lspm,0.5,100,39.433,65.0,260.0,380.0,170.0,330.0,29.12,0,3534,3.25,5.2
lspm,0.7,1,0.544,7.0,9.0,13.0,34.0,46.0,50.83,0,48,0.14,0.61
lspm,0.7,10,5.1,7.0,37.0,71.0,64.0,98.0,47.3,0,447,0.86,1.87
lspm,0.7,25,12.441,6.0,51.0,92.0,73.0,120.0,43.14,0,1104,1.57,2.73
lspm,0.7,50,22.994,23.0,110.0,190.0,100.0,190.0,37.37,0,2046,2.33,3.41
lspm,0.7,100,36.919,70.0,380.0,580.0,190.0,460.0,27.16,0,3307,3.85,6.25
naive,0.3,1,0.376,8.0,12.0,14.0,36.0,45.0,50.81,0,31,0.21,0.9
naive,0.3,10,3.484,7.0,13.0,22.0,63.0,76.0,47.59,0,311,1.3,2.66
naive,0.3,25,7.933,6.0,13.0,33.0,70.0,84.0,43.31,0,710,2.83,4.92
naive,0.3,50,14.996,6.0,18.0,48.0,83.0,100.0,38.19,0,1267,5.02,9.58
naive,0.3,100,21.776,6.0,24.0,43.0,120.0,150.0,25.01,0,1840,10.66,17.44
naive,0.5,1,0.509,8.0,11.0,15.0,36.0,45.0,50.89,0,45,0.17,0.68
naive,0.5,10,4.637,7.0,12.0,26.0,63.0,74.0,47.87,0,413,0.91,1.83
naive,0.5,25,10.572,6.0,12.0,25.0,68.0,81.0,44.09,0,946,1.82,3.48
naive,0.5,50,18.85,6.0,15.0,30.0,80.0,98.0,38.94,0,1685,4.04,6.64
naive,0.5,100,29.485,6.0,21.0,36.0,120.0,150.0,26.55,0,2643,8.47,12.74
naive,0.7,1,0.493,7.0,11.0,14.0,34.0,39.0,50.77,0,44,0.2,0.72
naive,0.7,10,4.756,7.0,11.0,34.0,62.0,75.0,47.87,0,423,0.87,1.76
naive,0.7,25,11.276,7.0,13.0,27.0,67.0,80.0,44.18,0,1008,1.44,2.62
naive,0.7,50,20.479,6.0,14.0,29.0,78.0,96.0,39.54,0,1832,2.74,4.74
naive,0.7,100,32.607,6.0,21.0,54.0,110.0,140.0,27.33,0,2921,5.53,8.97
