epoch,t_seconds,gpu_cache_usage_perc,error
1787803783.676,0.0,0.0,
1787803784.702,1.03,0.0,
1787803785.714,2.04,0.0,
1787803786.729,3.05,0.0,
1787803787.741,4.07,0.0,
1787803788.757,5.08,0.0,
1787803789.771,6.1,0.0,
1787803790.786,7.11,0.0,
1787803791.799,8.12,0.0,
1787803792.814,9.14,0.0,
1787803793.829,10.15,0.0,
1787803794.844,11.17,0.0,
1787803795.861,12.19,0.0,
1787803796.878,13.2,0.0,
1787803797.893,14.22,0.0,
1787803798.908,15.23,0.0,
1787803799.922,16.25,0.004112622587788661,
1787803800.937,17.26,0.004112622587788661,
1787803801.953,18.28,0.0,
1787803802.966,19.29,0.0,
1787803803.981,20.31,0.0,
1787803804.997,21.32,0.0,
1787803806.012,22.34,0.0,
1787803807.028,23.35,0.004428978171464704,
1787803808.043,24.37,0.0,
1787803809.058,25.38,0.0,
1787803810.073,26.4,0.0,
1787803811.087,27.41,0.0,
1787803812.104,28.43,0.0,
1787803813.119,29.44,0.0,
1787803814.134,30.46,0.0,
1787803815.148,31.47,0.004745333755140746,
1787803816.163,32.49,0.0,
1787803817.178,33.5,0.0,
1787803818.193,34.52,0.0,
1787803819.208,35.53,0.0,
1787803820.223,36.55,0.0,
1787803821.238,37.56,0.0,
1787803822.252,38.58,0.0,
1787803823.266,39.59,0.0,
1787803824.28,40.6,0.0,
1787803825.294,41.62,0.0,
1787803826.31,42.63,0.004112622587788661,
1787803827.325,43.65,0.0,
1787803828.34,44.66,0.0,
1787803829.356,45.68,0.004112622587788661,
1787803830.372,46.7,0.0,
1787803831.387,47.71,0.0,
1787803832.402,48.73,0.004428978171464704,
1787803833.418,49.74,0.0,
1787803834.433,50.76,0.004745333755140746,
1787803835.449,51.77,0.004112622587788661,
1787803836.464,52.79,0.0,
1787803837.48,53.8,0.0,
1787803838.495,54.82,0.004428978171464704,
1787803839.51,55.83,0.0,
1787803840.525,56.85,0.004112622587788661,
1787803841.54,57.86,0.0,
1787803842.555,58.88,0.004112622587788661,
1787803843.571,59.9,0.0,
1787803844.586,60.91,0.004112622587788661,
1787803845.602,61.93,0.0,
1787803846.617,62.94,0.004428978171464704,
1787803847.633,63.96,0.0,
1787803848.648,64.97,0.0,
1787803849.662,65.99,0.0,
1787803850.675,67.0,0.0,
1787803851.689,68.01,0.0,
1787803852.704,69.03,0.0,
1787803853.718,70.04,0.004112622587788661,
1787803854.734,71.06,0.0,
1787803855.749,72.07,0.0,
1787803856.763,73.09,0.004112622587788661,
1787803857.778,74.1,0.0,
1787803858.793,75.12,0.004428978171464704,
1787803859.808,76.13,0.0,
1787803860.822,77.15,0.0,
1787803861.835,78.16,0.0,
1787803862.844,79.17,0.0,
1787803863.86,80.18,0.0,
1787803864.876,81.2,0.0,
1787803865.892,82.22,0.0,
1787803866.907,83.23,0.0,
1787803867.922,84.25,0.0,
1787803868.937,85.26,0.0,
1787803869.954,86.28,0.0,
1787803870.968,87.29,0.0,
1787803872.0,88.32,0.0,
1787803873.015,89.34,0.0,
1787803874.029,90.35,0.0,
1787803875.046,91.37,0.0,
1787803876.06,92.38,0.0,
1787803877.076,93.4,0.0,
1787803878.091,94.42,0.0,
1787803879.107,95.43,0.0,
1787803880.124,96.45,0.0,
1787803881.141,97.47,0.0,
1787803882.156,98.48,0.0,
1787803883.17,99.49,0.0,
