epoch,t_seconds,gpu_cache_usage_perc,error
1787810440.99,0.0,0.0,
1787810442.004,1.01,0.0,
1787810443.019,2.03,0.0,
1787810444.034,3.04,0.0,
1787810445.047,4.06,0.0,
1787810446.063,5.07,0.0,
1787810447.078,6.09,0.0,
1787810448.093,7.1,0.0,
1787810449.11,8.12,0.0,
1787810450.126,9.14,0.0,
1787810451.143,10.15,0.0,
1787810452.159,11.17,0.005694400506168984,
1787810453.176,12.19,0.005694400506168984,
1787810454.193,13.2,0.0,
1787810455.209,14.22,0.0,
1787810456.226,15.24,0.0,
1787810457.241,16.25,0.0,
1787810458.258,17.27,0.0,
1787810459.274,18.28,0.0,
1787810460.291,19.3,0.006010756089845026,
1787810461.306,20.32,0.0,
1787810462.323,21.33,0.0,
1787810463.338,22.35,0.006010756089845026,
1787810464.357,23.37,0.0,
1787810465.373,24.38,0.006010756089845026,
1787810466.39,25.4,0.0,
1787810467.405,26.41,0.0,
1787810468.42,27.43,0.005694400506168984,
1787810469.435,28.45,0.0,
1787810470.451,29.46,0.0,
1787810471.466,30.48,0.0,
1787810472.482,31.49,0.0,
1787810473.497,32.51,0.0,
1787810474.512,33.52,0.0,
1787810475.526,34.54,0.0,
1787810476.542,35.55,0.005694400506168984,
1787810477.556,36.57,0.005694400506168984,
1787810478.572,37.58,0.005694400506168984,
1787810479.587,38.6,0.0,
1787810480.603,39.61,0.005694400506168984,
1787810481.618,40.63,0.0,
1787810482.634,41.64,0.0,
1787810483.649,42.66,0.0,
1787810484.663,43.67,0.0,
1787810485.678,44.69,0.0,
1787810486.694,45.7,0.005694400506168984,
1787810487.711,46.72,0.0,
1787810488.728,47.74,0.0,
1787810489.744,48.75,0.0,
1787810490.759,49.77,0.006010756089845026,
1787810491.774,50.78,0.0,
1787810492.789,51.8,0.0,
1787810493.805,52.81,0.0,
1787810494.82,53.83,0.0,
1787810495.837,54.85,0.006010756089845026,
1787810496.854,55.86,0.0,
1787810497.869,56.88,0.0,
1787810498.885,57.89,0.0,
1787810499.9,58.91,0.005694400506168984,
1787810500.917,59.93,0.0,
1787810501.932,60.94,0.0,
1787810502.948,61.96,0.0,
1787810503.963,62.97,0.0,
1787810504.98,63.99,0.0,
1787810505.996,65.01,0.0,
1787810507.012,66.02,0.0,
1787810508.027,67.04,0.0,
1787810509.043,68.05,0.0,
1787810510.058,69.07,0.0,
1787810511.073,70.08,0.0,
1787810512.089,71.1,0.005694400506168984,
1787810513.103,72.11,0.0,
1787810514.118,73.13,0.0,
1787810515.134,74.14,0.0,
1787810516.149,75.16,0.0,
1787810517.164,76.17,0.0,
1787810518.181,77.19,0.0,
1787810519.197,78.21,0.005694400506168984,
1787810520.212,79.22,0.0,
1787810521.229,80.24,0.0,
1787810522.244,81.25,0.006010756089845026,
1787810523.258,82.27,0.0,
1787810524.274,83.28,0.0,
1787810525.289,84.3,0.0,
1787810526.306,85.32,0.005694400506168984,
1787810527.321,86.33,0.0,
1787810528.338,87.35,0.0,
1787810529.353,88.36,0.0,
1787810530.369,89.38,0.005694400506168984,
1787810531.384,90.39,0.0,
1787810532.401,91.41,0.0,
1787810533.417,92.43,0.0,
1787810534.433,93.44,0.0,
1787810535.449,94.46,0.0,
1787810536.466,95.48,0.0,
1787810537.482,96.49,0.0,
1787810538.498,97.51,0.0,
1787810539.513,98.52,0.0,
1787810540.529,99.54,0.0,
