ar_tokens,en_tokens,ratio_ar_over_en,ar_chars,en_chars
29,29,1.0000,98,121
42,24,1.7500,107,164
30,18,1.6667,90,119
38,20,1.9000,103,112
41,20,2.0500,100,152
35,15,2.3333,92,95
37,19,1.9474,98,103
34,21,1.6190,95,124
37,21,1.7619,90,113
40,16,2.5000,100,95
32,20,1.6000,86,120
32,20,1.6000,84,115
29,18,1.6111,82,118
29,15,1.9333,91,94
32,15,2.1333,90,103
34,19,1.7895,85,110
35,17,2.0588,98,119
41,23,1.7826,98,144
32,21,1.5238,88,113
36,20,1.8000,100,116
34,17,2.0000,82,103
33,19,1.7368,87,125
31,21,1.4762,73,120
27,17,1.5882,73,98
34,17,2.0000,93,115
37,22,1.6818,98,131
26,18,1.4444,79,120
35,19,1.8421,98,112
35,18,1.9444,86,98
36,21,1.7143,84,123
