ar_tokens,en_tokens,ratio_ar_over_en,ar_chars,en_chars
26,28,0.9286,98,121
39,25,1.5600,107,164
36,19,1.8947,90,119
40,21,1.9048,103,112
40,21,1.9048,100,152
35,16,2.1875,92,95
32,20,1.6000,98,103
36,22,1.6364,95,124
39,22,1.7727,90,113
42,17,2.4706,100,95
31,21,1.4762,86,120
30,21,1.4286,84,115
29,19,1.5263,82,118
31,16,1.9375,91,94
33,16,2.0625,90,103
34,20,1.7000,85,110
35,18,1.9444,98,119
40,24,1.6667,98,144
33,22,1.5000,88,113
34,21,1.6190,100,116
33,18,1.8333,82,103
34,20,1.7000,87,125
27,22,1.2273,73,120
28,18,1.5556,73,98
34,18,1.8889,93,115
37,23,1.6087,98,131
30,19,1.5789,79,120
39,20,1.9500,98,112
35,19,1.8421,86,98
35,22,1.5909,84,123
